NVAX_2026-01-20 06:59:39_0001104659-26-004785
ADBE_2025-12-10 16:05:55_0000796343-25-000135
ADBE_2025-03-12 16:06:35_0000796343-25-000052
NVAX_2025-11-04 06:02:25_0001104659-25-105818
PYPL_2025-10-28 07:01:13_0001633917-25-000194
NEE_2026-01-27 07:39:36_0000753308-26-000007
ALGN_2025-05-06 09:00:29_0001097149-25-000030
CSCO_2025-08-13 16:11:01_0001193125-25-179820
NKE_2025-06-26 16:18:10_0000320187-25-000034
NOW_2025-12-05 16:11:27_0001373715-25-000321
ALGN_2025-08-04 20:32:00_0001097149-25-000059
ORCL_2025-11-21 16:26:49_0001193125-25-291441
APP_2025-04-03 17:26:22_0001751008-25-000028
LLY_2025-08-20 16:16:08_0001193125-25-184093
CAT_2026-01-06 16:33:15_0001104659-26-001346
CNC_2025-08-15 16:29:37_0001071739-25-000162
CSCO_2025-05-14 16:43:56_0000858877-25-000021
AMD_2025-08-05 16:16:31_0000002488-25-000106
HIMS_2025-08-04 16:13:03_0001773751-25-000248
RR_2025-11-04 16:06:01_0001213900-25-106091
IBM_2026-02-02 17:25:19_0001104659-26-009343
DUOL_2025-08-06 16:03:16_0001562088-25-000165
ACHR_2026-01-26 16:04:32_0001824502-26-000005
OPEN_2025-11-06 16:51:27_0001140361-25-040804
COIN_2025-08-08 16:40:18_0001679788-25-000171
LNTH_2025-08-06 07:39:52_0000950170-25-103543
NKE_2025-12-18 16:15:38_0000320187-25-000138
LCID_2026-01-05 09:02:07_0001628280-26-000236
GE_2026-01-22 06:38:59_0000040545-26-000005
BULL_2003-07-16 09:19:04_0000891092-03-001550
RR_2025-10-01 16:30:54_0001213900-25-094712
QCOM_2025-08-25 16:37:44_0000804328-25-000049
AAPL_2025-12-05 16:31:42_0001140361-25-044561
IONQ_2025-11-10 08:05:59_0000950142-25-002921
ALGN_2025-07-02 16:32:25_0001097149-25-000050
PFE_2025-11-04 07:00:28_0000078003-25-000149
AAPL_2025-07-25 16:30:49_0001140361-25-027340
MU_2025-06-25 16:03:10_0000723125-25-000019
TSLA_2025-09-05 16:46:03_0001104659-25-087862
DUOL_2024-12-09 16:26:10_0001562088-24-000276
META_2025-07-30 16:13:01_0001628280-25-036719
CAT_2025-08-05 06:32:10_0000018230-25-000037
ABT_2025-07-17 07:34:53_0001628280-25-035135
ALGN_2025-07-30 16:09:23_0001097149-25-000055
INTC_2025-10-23 16:10:22_0000050863-25-000169
LYFT_2025-07-29 16:08:51_0001759509-25-000117
NVDA_2025-11-19 16:20:44_0001045810-25-000228
CAT_2025-10-29 06:32:45_0000018230-25-000043
SMCI_2026-01-29 16:28:59_0001375365-26-000005
ACHR_2025-12-10 17:07:40_0001824502-25-000026
PFE_2026-02-03 07:01:37_0000078003-26-000005
CSCO_2025-12-17 16:42:08_0000858877-25-000199
TEM_2025-08-27 17:11:01_0001193125-25-189857
UNH_2025-10-28 06:02:08_0000731766-25-000301
INTC_2026-01-22 16:10:56_0000050863-26-000009
HOOD_2025-11-05 16:05:08_0001783879-25-000309
LCID_2026-01-23 16:04:16_0001628280-26-003278
CAT_2026-01-29 06:31:34_0000018230-26-000003
AVGO_2025-09-09 17:28:00_0001193125-25-199281
AMZN_2025-07-31 16:13:17_0001018724-25-000084
APP_2025-06-09 17:05:38_0001751008-25-000057
GME_2026-01-08 17:25:18_0001326380-26-000007
ORCL_2025-06-30 08:30:26_0001193125-25-152035
ACHR_2025-11-19 17:02:58_0001104659-25-114155
LYFT_2025-11-05 16:11:38_0001628280-25-049556
IONQ_2026-01-26 06:14:20_0001193125-26-021616
AVGO_2025-07-11 16:14:59_0001193125-25-158202
QCOM_2025-09-02 16:06:34_0000804328-25-000054
PLTR_2025-02-03 16:07:17_0001321655-25-000007
SOFI_2026-01-05 17:15:26_0001818874-26-000003
RR_2025-08-29 08:30:53_0001213900-25-082097
META_2026-01-16 16:56:58_0001628280-26-002429
AMD_2025-08-25 16:07:00_0000002488-25-000147
ALGN_2025-09-18 17:04:39_0001097149-25-000069
PEP_2025-10-08 19:16:09_0000077476-25-000055
BRK-B_2025-10-03 10:34:37_0001193125-25-229405
DUOL_2025-05-01 16:02:23_0001562088-25-000098
SMR_2025-12-17 16:01:58_0001822966-25-000186
PEP_2025-07-16 18:11:14_0000077476-25-000046
LMND_2025-11-04 19:03:02_0001691421-25-000146
PANW_2025-12-11 16:05:45_0001193125-25-315915
MRVL_2025-12-02 16:11:34_0001193125-25-305271
GE_2026-01-15 08:37:54_0000040545-26-000002
SHOP_2025-11-04 07:01:33_0001594805-25-000088
META_2025-12-19 17:00:37_0001628280-25-058337
LMND_2026-01-27 08:29:42_0001691421-26-000003
BA_2025-12-03 17:20:22_0001628280-25-055122
IONQ_2025-11-05 16:05:29_0001193125-25-266878
LNTH_2025-05-05 16:26:23_0001193125-25-112812
JOBY_2026-02-02 16:01:33_0001628280-26-004597
NOW_2025-12-15 16:20:40_0001373715-25-000329
OKLO_2025-12-04 16:58:10_0001104659-25-118494
MRVL_2025-09-19 16:15:15_0001193125-25-209108
PANW_2025-11-19 16:20:12_0001193125-25-288132
NVAX_2026-01-12 08:01:06_0001104659-26-002725
ACHR_2026-01-22 16:11:14_0001824502-26-000003
MSFT_2025-07-01 17:00:47_0001193125-25-154103
CRWV_2025-11-10 16:08:52_0001769628-25-000059
AMD_2026-02-03 16:16:18_0000002488-26-000014
SHOP_2025-06-18 07:03:12_0001594805-25-000054
